guest_name_norm,booking_id,email,paese,cibo_preferito,prima_visita,prima_visita_effettiva,check_out,durata_prima_visita,canale_prima_visita,currency,room_rate,adr_prima_visita,cancelled,net_revenue_eur,alta_stagione_prima_visita,post_promo,date_corretta,nome_ambiguo,repeat
ferreira giulia,BK00558,giulia.ferreira988@outlook.com,USA,vegana,2025-01-07,2025-01-07,2025-01-08,1,direct,EUR,254.79,254.79,False,254.79,False,False,False,False,0
ferreira john,BK00669,john.ferreira872@gmail.com,Spain,vegana,2025-02-08,2025-02-08,2025-02-10,2,OTA,EUR,288.43,288.43,False,576.86,False,False,False,False,0
ferreira klaus,BK00463,klaus.ferreira545@yahoo.com,UAE,kosher,2024-12-21,2024-12-21,2024-12-26,5,direct,EUR,414.69,414.69,False,2073.45,True,False,False,False,1
ferreira layla,BK00563,layla.ferreira844@yahoo.com,UAE,senza glutine,2025-01-09,2025-01-09,2025-01-10,1,OTA,EUR,272.25,272.25,False,272.25,False,False,False,False,0
ferreira olga,BK00536,olga.ferreira435@gmail.com,USA,pesce,2025-01-01,2025-01-01,2025-01-04,3,OTA,EUR,260.83,260.83,False,782.49,False,False,False,False,0
ferreira paolo,BK00684,paolo.ferreira565@yahoo.com,USA,vegetariana,2025-02-13,2025-02-13,2025-02-15,2,OTA,EUR,249.62,249.62,False,499.24,False,False,False,False,1
ferreira thomas,BK00702,thomas.ferreira860@yahoo.com,Japan,internazionale,2025-02-17,2025-02-17,2025-02-18,1,direct,EUR,233.73,233.73,False,233.73,False,False,False,False,0
fischer jean,BK00044,jean.fischer576@yahoo.com,Spain,pesce,2024-09-16,2024-09-16,2024-09-18,2,OTA,EUR,379.1,379.1,False,758.2,True,False,False,False,1
fischer layla,BK00454,layla.fischer144@outlook.com,Japan,internazionale,2024-12-20,2024-12-20,2024-12-25,5,OTA,EUR,478.72,478.72,False,2393.6,True,False,False,False,1
fischer luca,BK00577,luca.fischer656@icloud.com,Switzerland,kosher,2025-01-13,2025-01-13,2025-01-15,2,OTA,EUR,252.12,252.12,False,504.24,False,False,False,False,0
fischer paolo,BK00294,paolo.fischer70@gmail.com,Japan,halal,2024-11-17,2024-11-17,2024-11-19,2,OTA,EUR,207.24,207.24,False,414.48,False,False,False,False,0
fischer priya,BK00345,priya.fischer968@outlook.com,Japan,internazionale,2024-12-03,2024-12-03,2024-12-06,3,direct,EUR,347.25,347.25,False,1041.75,True,False,False,False,0
fischer simone,BK00450,simone.fischer343@icloud.com,Netherlands,kosher,2024-12-19,2024-12-19,2024-12-23,4,direct,EUR,411.93,411.93,False,1647.72,True,False,False,False,0
fischer sophie,BK00538,sophie.fischer499@outlook.com,France,internazionale,2025-01-02,2025-01-02,2025-01-04,2,OTA,EUR,229.3,229.3,False,458.6,False,False,False,False,1
fischer youssef,BK00448,youssef.fischer205@outlook.com,Germany,kosher,2024-12-18,2024-12-18,2024-12-23,5,OTA,EUR,408.48,408.48,False,2042.4,True,False,False,False,1
fischer yuki,BK00007,yuki.fischer633@outlook.com,Switzerland,kosher,2024-09-11,2024-09-11,2024-09-16,5,OTA,EUR,429.37,429.37,False,2146.85,True,False,False,False,0
francesco girard,BK00522,francesco.girard327@outlook.com,UAE,internazionale,2024-12-28,2024-12-28,2024-12-30,2,direct,EUR,448.18,448.18,False,896.36,True,False,False,False,1
francesco hassan,BK00586,francesco.hassan708@icloud.com,Switzerland,vegetariana,2025-01-15,2025-01-15,2025-01-17,2,OTA,USD,200.98,184.9,False,369.8,False,False,False,False,0
francesco ibrahim,BK00036,francesco.ibrahim339@yahoo.com,UAE,halal,2024-09-15,2024-09-15,2024-09-19,4,OTA,EUR,457.73,457.73,False,1830.92,True,False,False,False,0
francesco klein,BK00653,francesco.klein547@outlook.com,Japan,kosher,2025-02-02,2025-02-02,2025-02-05,3,OTA,EUR,266.05,266.05,False,798.15,False,False,False,False,0
francesco kobayashi,BK00310,francesco.kobayashi677@gmail.com,Italy,italiana,2024-11-23,2024-11-23,2024-11-28,5,OTA,EUR,216.07,216.07,False,1080.35,False,False,False,False,0
francesco kowalski,BK00547,francesco.kowalski958@outlook.com,Netherlands,kosher,2025-01-03,2025-01-03,2025-01-05,2,direct,EUR,264.85,264.85,False,529.7,False,False,False,False,0
francesco lefevre,BK00064,francesco.lefevre110@icloud.com,Japan,pesce,2024-09-20,2024-09-20,2024-09-22,2,direct,EUR,407.39,407.39,False,814.78,True,False,False,False,0
francesco nakamura,BK00746,francesco.nakamura440@gmail.com,Netherlands,halal,2025-03-05,2025-03-05,2025-03-08,3,direct,EUR,279.38,279.38,False,838.14,False,False,False,False,0
francesco petrov,BK00383,francesco.petrov140@gmail.com,USA,senza glutine,2024-12-08,2024-12-08,2024-12-10,2,direct,EUR,475.84,475.84,False,951.68,True,False,False,False,0
francesco rossi,BK00017,francesco.rossi136@icloud.com,Japan,senza glutine,2024-09-12,2024-09-12,2024-09-19,7,OTA,EUR,431.7,431.7,False,3021.9,True,False,False,False,0
francesco sharma,BK00271,francesco.sharma421@yahoo.com,Italy,internazionale,2024-11-09,2024-11-09,2024-11-11,2,OTA,USD,235.5,216.66,False,433.32,False,False,False,False,0
francesco silva,BK00588,francesco.silva268@gmail.com,Netherlands,halal,2025-01-16,2025-01-16,2025-01-17,1,OTA,EUR,283.62,283.62,False,283.62,False,False,False,False,0
francesco singh,BK00047,francesco.singh362@yahoo.com,Switzerland,senza glutine,2024-09-17,2024-09-17,2024-09-20,3,OTA,EUR,402.32,402.32,False,1206.96,True,False,False,False,0
francesco weber,BK00037,francesco.weber86@gmail.com,Italy,internazionale,2024-09-15,2024-09-15,2024-09-17,2,direct,EUR,458.65,458.65,False,917.3,True,False,False,False,0
garcia james,BK00046,james.garcia440@outlook.com,USA,pesce,2024-09-17,2024-09-17,2024-09-20,3,OTA,USD,361.09,332.2,False,996.6,True,False,False,False,0
garcia jean,BK00628,jean.garcia26@outlook.com,UAE,senza glutine,2025-01-25,2025-01-25,2025-01-28,3,direct,EUR,217.82,217.82,False,653.46,False,False,False,False,0
garcia kenji,BK00313,kenji.garcia343@outlook.com,Netherlands,senza glutine,2024-11-24,2024-11-24,2024-11-26,2,OTA,EUR,252.25,252.25,False,504.5,False,False,False,False,0
garcia layla,BK00374,layla.garcia520@icloud.com,Japan,halal,2024-12-06,2024-12-06,2024-12-07,1,OTA,EUR,452.42,452.42,False,452.42,True,False,False,False,1
garcia lucia,BK00441,lucia.garcia96@icloud.com,Japan,vegana,2024-12-18,2024-12-18,2024-12-24,6,OTA,EUR,462.73,462.73,False,2776.38,True,False,False,False,0
garcia marie,BK00076,marie.garcia155@outlook.com,France,pesce,2024-09-21,2024-09-21,2024-09-24,3,OTA,EUR,422.06,422.06,False,1266.18,True,False,False,False,0
garcia nikolai,BK00603,nikolai.garcia777@yahoo.com,France,vegana,2025-01-18,2025-01-18,2025-01-20,2,OTA,USD,238.52,219.44,False,438.88,False,False,False,False,0
giorgia girard,BK00527,giorgia.girard336@yahoo.com,France,kosher,2024-12-30,2024-12-30,2025-01-03,4,OTA,EUR,473.82,473.82,False,1895.28,True,False,False,False,0
giorgia greco,BK00075,giorgia.greco732@icloud.com,Germany,pesce,2024-09-21,2024-09-21,2024-09-23,2,direct,USD,459.24,422.5,False,845.0,True,False,False,False,0
giorgia kim,BK00706,giorgia.kim175@yahoo.com,Netherlands,vegana,2025-02-19,2025-02-19,2025-02-20,1,OTA,EUR,272.7,272.7,False,272.7,False,False,False,False,0
giorgia moreau,BK00043,giorgia.moreau980@gmail.com,Japan,senza glutine,2024-09-16,2024-09-16,2024-09-21,5,direct,USD,348.38,320.51,False,1602.55,True,False,False,False,0
giorgia muller,BK00523,giorgia.muller511@yahoo.com,France,kosher,2024-12-29,2024-12-29,2024-12-31,2,OTA,USD,390.21,358.99,False,717.98,True,False,False,False,0
giorgia romano,BK00769,giorgia.romano661@gmail.com,Germany,pesce,2025-03-10,2025-03-10,2025-03-14,4,OTA,USD,272.26,250.48,False,1001.92,False,False,False,False,0
girard isabella,BK00063,isabella.girard57@gmail.com,Netherlands,vegetariana,2024-09-19,2024-09-19,2024-09-24,5,direct,USD,422.37,388.58,False,1942.9,True,False,False,False,0
girard kenji,BK00208,kenji.girard958@outlook.com,Switzerland,halal,2024-10-21,2024-10-21,2024-10-23,2,OTA,USD,236.7,217.76,False,435.52,False,False,False,False,1
girard robert,BK00028,robert.girard588@yahoo.com,UK,vegana,2024-09-14,2024-09-14,2024-09-17,3,OTA,EUR,412.99,412.99,False,1238.97,True,False,False,False,0
girard simone,BK00325,simone.girard969@gmail.com,Netherlands,italiana,2024-11-29,2024-11-29,2024-12-02,3,OTA,EUR,273.4,273.4,False,820.2,False,False,False,False,0
giulia johnson,BK00135,giulia.johnson634@outlook.com,France,vegana,2024-10-02,2024-10-02,2024-10-06,4,direct,EUR,205.13,205.13,False,820.52,False,False,False,False,0
giulia marino,BK00745,giulia.marino913@yahoo.com,Spain,vegetariana,2025-03-05,2025-03-05,2025-03-07,2,OTA,EUR,216.36,216.36,False,432.72,False,False,False,False,1
giulia sokolov,BK00724,giulia.sokolov521@outlook.com,UAE,halal,2025-02-25,2025-02-25,2025-02-27,2,OTA,EUR,271.81,271.81,False,543.62,False,False,False,False,0
greco ingrid,BK00107,ingrid.greco932@gmail.com,Netherlands,halal,2024-09-26,2024-09-26,2024-09-30,4,direct,EUR,424.37,424.37,False,1697.48,True,False,False,False,0
greco lucia,BK00161,lucia.greco90@gmail.com,Italy,halal,2024-10-09,2024-10-09,2024-10-11,2,direct,EUR,168.17,168.17,False,336.34,False,False,False,False,0
greco pierre,BK00375,pierre.greco24@outlook.com,France,kosher,2024-12-07,2024-12-07,2024-12-11,4,OTA,EUR,430.34,430.34,False,1721.36,True,False,False,False,0
greco youssef,BK00730,youssef.greco609@yahoo.com,USA,kosher,2025-02-27,2025-02-27,2025-03-01,2,OTA,EUR,229.19,229.19,False,458.38,False,False,False,False,1
hans kim,BK00005,hans.kim909@gmail.com,Switzerland,senza glutine,2024-09-10,2024-09-10,2024-09-13,3,direct,EUR,460.27,460.27,False,1380.81,True,False,False,False,1
hans kowalski,BK00734,hans.kowalski836@outlook.com,UK,kosher,2025-03-01,2025-03-01,2025-03-03,2,OTA,EUR,230.69,230.69,False,461.38,False,False,False,False,0
hans lopez,BK00571,hans.lopez260@yahoo.com,Germany,internazionale,2025-01-12,2025-01-12,2025-01-13,1,OTA,EUR,273.44,273.44,False,273.44,False,False,False,False,0
hans nilsson,BK00537,hans.nilsson554@yahoo.com,Germany,senza glutine,2025-01-01,2025-01-01,2025-01-02,1,OTA,EUR,259.01,259.01,False,259.01,False,False,False,False,0
hans rossi,BK00071,hans.rossi455@outlook.com,Spain,kosher,2024-09-21,2024-09-21,2024-09-24,3,direct,EUR,393.59,393.59,False,1180.77,True,False,False,False,0
hans schmidt,BK00499,hans.schmidt703@icloud.com,UK,halal,2024-12-25,2024-12-25,2024-12-26,1,OTA,EUR,391.09,391.09,False,391.09,True,False,False,False,1
hans tanaka,BK00449,hans.tanaka387@icloud.com,Netherlands,senza glutine,2024-12-19,2024-12-19,2024-12-21,2,direct,USD,481.66,443.13,False,886.26,True,False,False,False,0
hassan james,BK00019,james.hassan319@gmail.com,Italy,italiana,2024-09-12,2024-09-12,2024-09-18,6,direct,EUR,371.13,371.13,False,2226.78,True,False,False,False,0
hassan kenji,BK00030,kenji.hassan370@yahoo.com,Italy,kosher,2024-09-14,2024-09-14,2024-09-17,3,direct,USD,355.48,327.04,False,981.12,True,False,False,False,0
hassan patricia,BK00623,patricia.hassan567@icloud.com,France,italiana,2025-01-24,2025-01-24,2025-01-25,1,direct,EUR,243.1,243.1,False,243.1,False,False,False,False,0
hassan william,BK00649,william.hassan973@icloud.com,France,vegana,2025-02-01,2025-02-01,2025-02-05,4,OTA,USD,266.7,245.36,False,981.44,False,False,False,False,0
hassan yuki,BK00253,yuki.hassan938@gmail.com,USA,vegana,2024-11-05,2024-11-05,2024-11-10,5,OTA,EUR,206.33,206.33,False,1031.65,False,False,False,False,0
henri kaczmarek,BK00595,henri.kaczmarek739@yahoo.com,UAE,vegetariana,2025-01-17,2025-01-17,2025-01-19,2,OTA,EUR,241.33,241.33,False,482.66,False,False,False,False,0
henri kowalski,BK00482,henri.kowalski962@yahoo.com,Italy,halal,2024-12-23,2024-12-23,2024-12-26,3,direct,EUR,376.22,376.22,False,1128.66,True,False,False,False,0
henri kumar,BK00525,henri.kumar220@gmail.com,USA,vegetariana,2024-12-30,2024-12-30,2025-01-01,2,OTA,EUR,406.75,406.75,False,813.5,True,False,False,False,1
henri leroy,BK00093,henri.leroy611@gmail.com,Germany,kosher,2024-09-24,2024-09-24,2024-09-27,3,OTA,EUR,426.12,426.12,False,1278.36,True,False,False,False,0
henri novak,BK00721,henri.novak637@yahoo.com,France,vegetariana,2025-02-24,2025-02-24,2025-03-01,5,OTA,USD,239.24,220.1,False,1100.5,False,False,False,False,1
henri schmidt,BK00737,henri.schmidt423@icloud.com,UK,pesce,2025-03-02,2025-03-02,2025-03-05,3,OTA,EUR,288.77,288.77,False,866.31,False,False,False,False,0
henri sharma,BK00410,henri.sharma27@gmail.com,UK,vegana,2024-12-12,2024-12-12,2024-12-14,2,OTA,EUR,425.93,425.93,False,851.86,True,False,False,False,1
henri singh,BK00054,henri.singh463@gmail.com,UAE,vegana,2024-09-18,2024-09-18,2024-09-26,8,direct,EUR,435.33,435.33,False,3482.64,True,False,False,False,1
henri sokolov,BK00562,henri.sokolov657@outlook.com,Italy,vegana,2025-01-08,2025-01-08,2025-01-12,4,direct,EUR,178.7,178.7,False,714.8,False,False,False,False,0
henri tanaka,BK00153,henri.tanaka253@icloud.com,UAE,pesce,2024-10-06,2024-10-06,2024-10-08,2,OTA,EUR,307.28,307.28,False,614.56,False,False,False,False,0
ibrahim kenji,BK00600,kenji.ibrahim96@icloud.com,USA,kosher,2025-01-18,2025-01-18,2025-01-20,2,direct,EUR,199.95,199.95,False,399.9,False,False,False,False,0
ibrahim klaus,BK00148,klaus.ibrahim744@gmail.com,UK,italiana,2024-10-05,2024-10-05,2024-10-06,1,OTA,EUR,216.71,216.71,False,216.71,False,False,False,False,0
ibrahim omar,BK00490,omar.ibrahim674@yahoo.com,Japan,italiana,2024-12-25,2024-12-25,2024-12-28,3,OTA,USD,438.88,403.77,False,1211.31,True,False,False,False,1
ibrahim priya,BK00550,priya.ibrahim947@icloud.com,USA,senza glutine,2025-01-05,2025-01-05,2025-01-07,2,OTA,EUR,234.65,234.65,False,469.3,False,False,False,False,0
ibrahim simone,BK00259,simone.ibrahim259@gmail.com,Germany,italiana,2024-11-06,2024-11-06,2024-11-08,2,OTA,EUR,238.24,238.24,False,476.48,False,False,False,False,0
ibrahim sophie,BK00319,sophie.ibrahim648@yahoo.com,France,kosher,2024-11-27,2024-11-27,2024-12-04,7,OTA,EUR,241.97,241.97,False,1693.79,False,False,False,False,1
ibrahim thomas,BK00754,thomas.ibrahim188@icloud.com,Switzerland,senza glutine,2025-03-07,2025-03-07,2025-03-11,4,direct,USD,272.98,251.14,False,1004.56,False,False,False,False,0
ingrid kobayashi,BK00365,ingrid.kobayashi216@gmail.com,Spain,vegetariana,2024-12-05,2024-12-05,2024-12-08,3,direct,EUR,422.72,422.72,False,1268.16,True,False,False,False,1
ingrid marino,BK00353,ingrid.marino470@gmail.com,Italy,vegana,2024-12-04,2024-12-04,2024-12-07,3,direct,EUR,456.37,456.37,False,1369.11,True,False,False,False,0
ingrid martinez,BK00048,ingrid.martinez126@icloud.com,Spain,internazionale,2024-09-17,2024-09-17,2024-09-23,6,OTA,EUR,365.11,365.11,False,2190.66,True,False,False,False,0
ingrid nakamura,BK00298,ingrid.nakamura916@outlook.com,Spain,internazionale,2024-11-18,2024-11-18,2024-11-19,1,OTA,EUR,253.48,253.48,False,253.48,False,False,False,False,0
ingrid nowak,BK00094,ingrid.nowak330@gmail.com,Spain,vegetariana,2024-09-24,2024-09-24,2024-09-27,3,direct,EUR,375.83,375.83,False,1127.49,True,False,False,False,1
ingrid petrov,BK00356,ingrid.petrov307@yahoo.com,France,vegana,2024-12-05,2024-12-05,2024-12-08,3,OTA,EUR,426.38,426.38,False,1279.14,True,False,False,False,0
ingrid ricci,BK00692,ingrid.ricci881@yahoo.com,Japan,italiana,2025-02-14,2025-02-14,2025-02-16,2,OTA,USD,283.73,261.03,False,522.06,False,False,False,False,0
ingrid sokolov,BK00694,ingrid.sokolov971@outlook.com,Germany,senza glutine,2025-02-15,2025-02-15,2025-02-16,1,OTA,USD,240.99,221.71,False,221.71,False,False,False,False,0
isabella kowalski,BK00099,isabella.kowalski570@gmail.com,Germany,italiana,2024-09-25,2024-09-25,2024-09-28,3,OTA,EUR,406.7,406.7,False,1220.1,True,False,True,False,1
isabella kumar,BK00635,isabella.kumar318@outlook.com,Spain,vegana,2025-01-28,2025-01-28,2025-01-29,1,direct,EUR,212.07,212.07,False,212.07,False,False,False,False,1
isabella muller,BK00269,isabella.muller78@outlook.com,Netherlands,halal,2024-11-08,2024-11-08,2024-11-10,2,direct,EUR,208.79,208.79,False,417.58,False,False,False,False,1
ivanov james,BK00723,james.ivanov525@icloud.com,UAE,italiana,2025-02-24,2025-02-24,2025-02-26,2,direct,EUR,226.54,226.54,False,453.08,False,False,True,False,0
ivanov jean,BK00594,jean.ivanov187@gmail.com,UAE,kosher,2025-01-17,2025-01-17,2025-01-18,1,OTA,EUR,237.95,237.95,False,237.95,False,False,False,False,0
ivanov maria,BK00582,maria.ivanov551@icloud.com,Spain,vegetariana,2025-01-14,2025-01-14,2025-01-17,3,OTA,EUR,265.45,265.45,False,796.35,False,False,False,False,0
ivanov olga,BK00272,olga.ivanov98@gmail.com,UK,vegetariana,2024-11-09,2024-11-09,2024-11-11,2,direct,USD,271.88,250.13,False,500.26,False,False,False,False,0
ivanov simone,BK00255,simone.ivanov128@icloud.com,Spain,italiana,2024-11-05,2024-11-05,2024-11-06,1,OTA,EUR,196.24,196.24,False,196.24,False,False,False,False,0
james johnson,BK00070,james.johnson856@outlook.com,Switzerland,vegana,2024-09-21,2024-09-21,2024-09-25,4,OTA,EUR,394.51,394.51,False,1578.04,True,False,False,False,0
james kim,BK00486,james.kim167@icloud.com,Netherlands,internazionale,2024-12-24,2024-12-24,2024-12-26,2,OTA,USD,384.67,353.9,False,707.8,True,False,False,False,0
james kobayashi,BK00103,james.kobayashi219@yahoo.com,UK,senza glutine,2024-09-25,2024-09-25,2024-09-29,4,OTA,EUR,393.43,393.43,False,1573.72,True,False,False,False,0
james martinez,BK00397,james.martinez311@outlook.com,Netherlands,halal,2024-12-11,2024-12-11,2024-12-15,4,OTA,EUR,376.51,376.51,False,1506.04,True,False,False,False,0
james meyer,BK00602,james.meyer889@gmail.com,Netherlands,vegana,2025-01-18,2025-01-18,2025-01-21,3,OTA,EUR,282.37,282.37,False,847.11,False,False,False,False,0
james patel,BK00521,james.patel80@gmail.com,France,vegetariana,2024-12-28,2024-12-28,2025-01-02,5,direct,EUR,433.62,433.62,False,2168.1,True,False,False,False,1
james schmidt,BK00480,james.schmidt360@outlook.com,Spain,pesce,2024-12-23,2024-12-23,2024-12-28,5,OTA,EUR,462.15,462.15,False,2310.75,True,False,False,False,0
james sokolov,BK00651,james.sokolov436@outlook.com,Italy,kosher,2025-02-01,2025-02-01,2025-02-06,5,direct,EUR,248.59,248.59,False,1242.95,False,False,False,False,1
james wagner,BK00143,james.wagner811@outlook.com,Netherlands,italiana,2024-10-04,2024-10-04,2024-10-08,4,OTA,EUR,216.25,216.25,False,865.0,False,False,False,False,0
james weber,BK00367,james.weber701@icloud.com,UK,pesce,2024-12-06,2024-12-06,2024-12-13,7,direct,EUR,332.52,332.52,False,2327.64,True,False,False,False,1
jean lopez,BK00540,jean.lopez859@outlook.com,Switzerland,pesce,2025-01-03,2025-01-03,2025-01-05,2,OTA,EUR,157.34,157.34,False,314.68,False,False,False,False,1
jean martinez,BK00725,jean.martinez872@icloud.com,UK,italiana,2025-02-25,2025-02-25,2025-02-27,2,OTA,USD,270.48,248.84,False,497.68,False,False,False,False,1
jean singh,BK00385,jean.singh468@icloud.com,UAE,vegana,2024-12-08,2024-12-08,2024-12-10,2,direct,EUR,353.52,353.52,False,707.04,True,False,False,False,0
john kaczmarek,BK00117,john.kaczmarek807@outlook.com,Spain,vegana,2024-09-27,2024-09-27,2024-09-28,1,OTA,USD,395.24,363.62,False,363.62,True,False,False,False,0
john klein,BK00182,john.klein103@gmail.com,Spain,halal,2024-10-14,2024-10-14,2024-10-17,3,OTA,EUR,182.26,182.26,False,546.78,False,False,False,False,0
john kowalski,BK00078,john.kowalski861@gmail.com,Switzerland,pesce,2024-09-22,2024-09-22,2024-09-23,1,OTA,USD,486.07,447.18,False,447.18,True,False,False,False,1
john meyer,BK00189,john.meyer313@yahoo.com,Germany,internazionale,2024-10-15,2024-10-15,2024-10-21,6,OTA,USD,225.19,207.17,False,1243.02,False,False,False,False,0
john schmidt,BK00386,john.schmidt4@gmail.com,Japan,internazionale,2024-12-09,2024-12-09,2024-12-11,2,OTA,EUR,380.87,380.87,False,761.74,True,False,False,False,0
john weber,BK00445,john.weber424@icloud.com,USA,internazionale,2024-12-18,2024-12-18,2024-12-23,5,OTA,EUR,435.61,435.61,False,2178.05,True,False,False,False,1
john yamamoto,BK00689,john.yamamoto544@outlook.com,Italy,vegana,2025-02-14,2025-02-14,2025-02-15,1,OTA,EUR,187.66,187.66,False,187.66,False,False,False,False,0
johnson klaus,BK00569,klaus.johnson470@outlook.com,USA,halal,2025-01-12,2025-01-12,2025-01-13,1,OTA,EUR,294.48,294.48,False,294.48,False,False,False,False,0
johnson luca,BK00084,luca.johnson88@gmail.com,UK,vegana,2024-09-22,2024-09-22,2024-09-23,1,OTA,USD,367.54,338.14,False,338.14,True,False,False,False,0
johnson maria,BK00556,maria.johnson585@icloud.com,Netherlands,senza glutine,2025-01-06,2025-01-06,2025-01-08,2,OTA,EUR,238.12,238.12,False,476.24,False,False,False,False,0
johnson omar,BK00026,omar.johnson39@icloud.com,Netherlands,senza glutine,2024-09-14,2024-09-14,2024-09-16,2,direct,EUR,466.3,466.3,False,932.6,True,False,False,False,0
johnson paolo,BK00241,paolo.johnson218@gmail.com,Netherlands,vegana,2024-11-01,2024-11-01,2024-11-04,3,OTA,EUR,233.55,233.55,False,700.65,False,False,False,False,0
johnson patricia,BK00576,patricia.johnson425@icloud.com,Italy,halal,2025-01-13,2025-01-13,2025-01-15,2,OTA,USD,254.23,233.89,False,467.78,False,False,False,False,0
johnson pierre,BK00359,pierre.johnson473@icloud.com,Germany,vegetariana,2024-12-05,2024-12-05,2024-12-11,6,OTA,USD,377.74,347.52,False,2085.12,True,False,False,False,1
johnson priya,BK00496,priya.johnson231@outlook.com,USA,halal,2024-12-25,2024-12-25,2024-12-27,2,direct,EUR,380.37,380.37,False,760.74,True,False,False,False,0
johnson simone,BK00758,simone.johnson212@gmail.com,Japan,vegana,2025-03-08,2025-03-08,2025-03-12,4,OTA,EUR,216.74,216.74,False,866.96,False,False,False,False,0
kaczmarek marco,BK00347,marco.kaczmarek307@outlook.com,UK,vegetariana,2024-12-04,2024-12-04,2024-12-09,5,OTA,EUR,483.0,483.0,False,2415.0,True,False,False,False,0
kaczmarek maria,BK00162,maria.kaczmarek422@yahoo.com,Switzerland,vegana,2024-10-09,2024-10-09,2024-10-13,4,OTA,EUR,287.98,287.98,False,1151.92,False,False,False,False,0
kaczmarek nikolai,BK00213,nikolai.kaczmarek243@icloud.com,France,senza glutine,2024-10-22,2024-10-22,2024-10-25,3,direct,EUR,228.57,228.57,False,685.71,False,False,False,False,0
kaczmarek priya,BK00545,priya.kaczmarek225@gmail.com,UAE,vegana,2025-01-03,2025-01-03,2025-01-09,6,direct,USD,253.4,233.13,False,1398.78,False,False,False,False,0
kaczmarek silvia,BK00369,silvia.kaczmarek819@gmail.com,Japan,pesce,2024-12-06,2024-12-06,2024-12-09,3,direct,EUR,414.44,414.44,False,1243.32,True,False,False,False,0
kaczmarek sophie,BK00344,sophie.kaczmarek639@yahoo.com,UK,vegetariana,2024-12-03,2024-12-03,2024-12-06,3,OTA,EUR,481.09,481.09,False,1443.27,True,False,False,False,0
kaczmarek valentina,BK00211,valentina.kaczmarek173@outlook.com,UAE,vegetariana,2024-10-22,2024-10-22,2024-10-24,2,direct,EUR,208.59,208.59,False,417.18,False,False,False,False,0
kenji kowalski,BK00756,kenji.kowalski406@yahoo.com,Germany,vegana,2025-03-07,2025-03-07,2025-03-10,3,OTA,EUR,222.33,222.33,False,666.99,False,False,False,False,0
kenji nakamura,BK00371,kenji.nakamura915@icloud.com,USA,vegana,2024-12-06,2024-12-06,2024-12-10,4,direct,EUR,414.41,414.41,False,1657.64,True,False,False,False,0
kenji sokolov,BK00597,kenji.sokolov661@yahoo.com,UK,vegana,2025-01-18,2025-01-18,2025-01-21,3,OTA,EUR,224.9,224.9,False,674.7,False,False,False,False,0
kenji weber,BK00097,kenji.weber684@outlook.com,Netherlands,senza glutine,2024-09-25,2024-09-25,2024-09-28,3,OTA,EUR,460.49,460.49,False,1381.47,True,False,False,False,0
kim laura,BK00683,laura.kim427@icloud.com,France,pesce,2025-02-13,2025-02-13,2025-02-15,2,OTA,USD,316.79,291.45,False,582.9,False,False,False,False,0
kim lucia,BK00136,lucia.kim17@outlook.com,Switzerland,kosher,2024-10-02,2024-10-02,2024-10-04,2,OTA,EUR,251.09,251.09,False,502.18,False,False,False,False,0
kim pierre,BK00364,pierre.kim782@gmail.com,Spain,senza glutine,2024-12-05,2024-12-05,2024-12-06,1,OTA,EUR,454.14,454.14,False,454.14,True,False,False,False,0
kim priya,BK00251,priya.kim388@outlook.com,UK,kosher,2024-11-04,2024-11-04,2024-11-06,2,OTA,EUR,220.73,220.73,False,441.46,False,False,False,False,0
kim sophie,BK00742,sophie.kim201@outlook.com,UK,vegana,2025-03-03,2025-03-03,2025-03-04,1,OTA,EUR,202.74,202.74,False,202.74,False,False,False,False,0
kim yuki,BK00137,yuki.kim780@yahoo.com,Spain,pesce,2024-10-03,2024-10-03,2024-10-05,2,direct,EUR,244.63,244.63,False,489.26,False,False,False,False,0
klaus lopez,BK00543,klaus.lopez671@yahoo.com,USA,italiana,2025-01-03,2025-01-03,2025-01-08,5,OTA,EUR,237.25,237.25,False,1186.25,False,False,False,False,0
klaus ricci,BK00081,klaus.ricci726@gmail.com,UK,pesce,2024-09-22,2024-09-22,2024-09-25,3,direct,EUR,374.99,374.99,False,1124.97,True,False,False,False,1
klaus wagner,BK00324,klaus.wagner587@yahoo.com,Netherlands,italiana,2024-11-28,2024-11-28,2024-12-02,4,OTA,EUR,241.57,241.57,False,966.28,False,False,False,False,0
klaus yamamoto,BK00228,klaus.yamamoto882@icloud.com,Switzerland,vegana,2024-10-27,2024-10-27,2024-10-29,2,OTA,EUR,255.24,255.24,False,510.48,False,False,True,False,1
klein luca,BK00293,luca.klein475@outlook.com,France,kosher,2024-11-16,2024-11-16,2024-11-20,4,direct,EUR,247.1,247.1,False,988.4,False,False,False,False,0
klein robert,BK00145,robert.klein553@gmail.com,France,halal,2024-10-05,2024-10-05,2024-10-09,4,direct,EUR,215.65,215.65,False,862.6,False,False,False,False,1
klein simone,BK00106,simone.klein197@yahoo.com,France,halal,2024-09-26,2024-09-26,2024-09-29,3,OTA,EUR,407.47,407.47,False,1222.41,True,False,False,False,0
kobayashi marie,BK00672,marie.kobayashi158@icloud.com,Spain,vegetariana,2025-02-09,2025-02-09,2025-02-11,2,OTA,EUR,263.16,263.16,False,526.32,False,False,False,False,0
