guest_name,email,country,prima_visita,cibo_preferito
  Matteo Al-Farsi  ,matteo.al-farsi463@gmail.com,Netherlands,2025-11-27,vegana
LUCA BRUNO,luca.bruno671@gmail.com,USA,2026-08-17,internazionale
  Astrid Sokolov  ,astrid.sokolov645@gmail.com,Japan,2026-07-25,halal
KENJI BERNARD,kenji.bernard785@gmail.com,Netherlands,2026-04-09,internazionale
Girard Isabella,isabella.girard57@gmail.com,Netherlands,2024-09-19,vegetariana
Arjun Moreau,arjun.moreau97@outlook.com,Switzerland,2025-08-31,vegana
Ivanov Youssef,youssef.ivanov658@icloud.com,UAE,2026-07-20,italiana
Hans Romano,hans.romano89@gmail.com,USA,2025-08-07,senza glutine
John Singh,john.singh932@outlook.com,Italy,2026-08-22,halal
charlotte park,charlotte.park260@icloud.com,UAE,2025-12-28,halal
  Silvia Kaczmarek  ,silvia.kaczmarek819@gmail.com,Japan,2024-12-06,pesce
  Ekaterina Kaczmarek  ,ekaterina.kaczmarek628@yahoo.com,Switzerland,2025-09-14,senza glutine
andrea greco,andrea.greco915@yahoo.com,Spain,2026-02-09,vegetariana
PIERRE SMITH,pierre.smith837@outlook.com,UK,2024-10-26,kosher
Marco Sharma,marco.sharma355@outlook.com,Netherlands,2025-06-24,halal
CARLOS KOWALSKI,carlos.kowalski311@outlook.com,France,2026-03-04,italiana
JOHN AL-FARSI,john.al-farsi552@outlook.com,Spain,2024-12-30,vegetariana
  Valentina Smith  ,valentina.smith635@yahoo.com,Japan,2025-06-26,italiana
Fatima Lefevre,fatima.lefevre466@yahoo.com,USA,2026-02-02,kosher
astrid moreau,astrid.moreau529@outlook.com,Italy,2026-05-07,vegetariana
Hans Meyer,hans.meyer476@outlook.com,Spain,2025-09-19,kosher
ekaterina garcia,ekaterina.garcia159@yahoo.com,UK,2026-08-19,italiana
CARLOS KUMAR,carlos.kumar665@yahoo.com,Italy,2026-08-03,pesce
FEDERICA ROMANO,federica.romano731@outlook.com,USA,2025-08-27,italiana
PAOLO NOWAK,paolo.nowak204@icloud.com,Japan,2025-01-01,vegetariana
henri johnson,henri.johnson482@gmail.com,UK,2026-05-05,vegetariana
dmitri nakamura,dmitri.nakamura618@yahoo.com,Japan,2025-04-02,pesce
Klein Olivia,olivia.klein286@gmail.com,France,2026-06-23,pesce
PIERRE TANAKA,pierre.tanaka451@yahoo.com,Italy,2025-11-19,senza glutine
olivia suzuki,olivia.suzuki851@icloud.com,Netherlands,2025-07-19,senza glutine
ANANYA PATEL,ananya.patel137@gmail.com,Germany,2025-10-16,halal
Ahmed Wagner,ahmed.wagner882@icloud.com,UAE,2025-09-26,senza glutine
erik romano,erik.romano475@icloud.com,Spain,2026-08-03,vegana
  Hans Kowalski  ,hans.kowalski836@outlook.com,UK,2025-03-01,kosher
Astrid Romano,astrid.romano376@icloud.com,UK,2026-08-05,senza glutine
james kobayashi,james.kobayashi219@yahoo.com,UK,2024-09-25,senza glutine
SIMONE NAKAMURA,simone.nakamura742@gmail.com,Italy,2026-04-30,halal
  Lucia Romano  ,lucia.romano663@yahoo.com,Italy,2026-07-31,vegana
Valentina Singh,valentina.singh434@yahoo.com,Italy,2025-07-19,vegana
Ingrid Colombo,ingrid.colombo577@outlook.com,Italy,2024-11-03,halal
camille kowalski,camille.kowalski708@yahoo.com,UAE,2026-06-04,internazionale
lucia bernard,lucia.bernard135@outlook.com,Spain,2026-06-23,senza glutine
emma chen,emma.chen971@gmail.com,USA,2025-06-20,senza glutine
MARIA MULLER,maria.muller617@gmail.com,France,2025-09-19,internazionale
Fatima Al-Farsi,fatima.al-farsi285@icloud.com,Spain,2026-06-06,senza glutine
ARJUN KLEIN,arjun.klein559@outlook.com,USA,2025-02-05,internazionale
JEAN ROMANO,jean.romano293@gmail.com,France,2025-12-16,halal
ELENA LEFEVRE,elena.lefevre259@outlook.com,Japan,2025-08-06,italiana
Francesco Silva,francesco.silva268@gmail.com,Netherlands,2025-01-16,halal
  Sara Weber  ,sara.weber755@gmail.com,Japan,2026-06-17,internazionale
GIULIA CHEN,giulia.chen868@gmail.com,UAE,2025-06-14,vegetariana
youssef silva,youssef.silva568@icloud.com,Italy,2026-08-08,vegetariana
LAYLA AL-RASHID,layla.al-rashid812@gmail.com,Japan,2025-10-30,vegana
DMITRI COLOMBO,dmitri.colombo346@icloud.com,Spain,2025-09-17,senza glutine
Elena Ferreira,elena.ferreira5@gmail.com,Germany,2025-08-02,halal
Kaczmarek Yuki,yuki.kaczmarek596@yahoo.com,France,2025-07-22,kosher
Ferrari Youssef,youssef.ferrari722@icloud.com,UK,2026-06-11,internazionale
  Simone Lefevre  ,simone.lefevre543@outlook.com,Switzerland,2026-01-20,senza glutine
  Lucia Sokolov  ,lucia.sokolov951@yahoo.com,UAE,2026-05-05,internazionale
Federica Ferrari,federica.ferrari448@icloud.com,France,2025-08-01,vegana
GIORGIA SHARMA,giorgia.sharma70@outlook.com,Switzerland,2025-04-22,pesce
Marino Diego,diego.marino940@yahoo.com,UK,2024-11-19,pesce
  Sophie Esposito  ,sophie.esposito611@icloud.com,France,2026-05-09,vegana
henri ferreira,henri.ferreira574@gmail.com,Netherlands,2025-07-29,vegana
AHMED GRECO,ahmed.greco242@yahoo.com,Japan,2025-09-14,halal
Diego Ivanov,diego.ivanov35@outlook.com,Germany,2025-08-25,vegana
Federica Sokolov,federica.sokolov501@outlook.com,Netherlands,2025-08-06,vegana
PRIYA ROSSI,priya.rossi411@gmail.com,France,2026-01-27,halal
MATTEO PARK,matteo.park451@icloud.com,Switzerland,2025-12-06,vegana
Sokolov Patricia,patricia.sokolov430@yahoo.com,Italy,2026-08-27,italiana
Charlotte Hassan,charlotte.hassan475@yahoo.com,Switzerland,2024-12-21,pesce
  Fatima Rossi  ,fatima.rossi294@yahoo.com,Japan,2025-11-04,italiana
Alessandro Kim,alessandro.kim452@yahoo.com,UAE,2024-10-24,senza glutine
Arjun Sharma,arjun.sharma924@yahoo.com,UK,2026-06-06,internazionale
OMAR MARINO,omar.marino870@gmail.com,Germany,2025-12-10,pesce
DMITRI WATANABE,dmitri.watanabe84@icloud.com,Netherlands,2025-08-05,vegana
KLAUS ROMANO,klaus.romano978@gmail.com,Japan,2026-06-03,pesce
Amelia Ferrari,amelia.ferrari277@outlook.com,Switzerland,2025-08-18,internazionale
  Patricia Garcia  ,patricia.garcia164@yahoo.com,Netherlands,2025-03-16,italiana
Paolo Suzuki,paolo.suzuki877@yahoo.com,USA,2025-08-27,internazionale
Camille Tanaka,camille.tanaka617@icloud.com,Italy,2024-11-01,italiana
Ananya Silva,ananya.silva641@outlook.com,France,2026-07-21,pesce
THOMAS PARK,thomas.park724@gmail.com,Netherlands,2026-03-20,pesce
LAYLA KACZMAREK,layla.kaczmarek151@gmail.com,Spain,2026-04-21,italiana
David Bernard,david.bernard419@yahoo.com,Switzerland,2026-07-09,senza glutine
  Carlos Weber  ,carlos.weber108@yahoo.com,UK,2026-05-25,italiana
Fatima Martinez,fatima.martinez181@yahoo.com,Germany,2025-08-07,pesce
giulia ferrari,giulia.ferrari125@icloud.com,Japan,2024-12-11,kosher
Kim David,david.kim53@outlook.com,France,2025-07-08,vegana
  Sophie Ferreira  ,sophie.ferreira820@gmail.com,UAE,2026-08-08,vegana
ANNA MEYER,anna.meyer823@gmail.com,Netherlands,2026-08-15,pesce
  Amelia Novak  ,amelia.novak280@gmail.com,Netherlands,2026-04-29,halal
Youssef Nilsson,youssef.nilsson131@outlook.com,UAE,2025-02-18,vegana
  James Fernandez  ,james.fernandez189@outlook.com,USA,2025-02-07,senza glutine
  Ekaterina Bernard  ,ekaterina.bernard959@gmail.com,UAE,2026-07-12,halal
Ekaterina Costa,ekaterina.costa794@icloud.com,Germany,2024-12-23,vegetariana
Marie Patel,marie.patel782@yahoo.com,UAE,2025-11-16,pesce
Ahmed Patel,ahmed.patel523@gmail.com,France,2025-07-11,vegana
  Fatima Sokolov  ,fatima.sokolov126@gmail.com,Italy,2025-06-03,vegetariana
carlos kim,carlos.kim991@yahoo.com,Netherlands,2026-01-20,senza glutine
  Carlos Ferreira  ,carlos.ferreira598@icloud.com,USA,2026-08-20,internazionale
Federica Kim,federica.kim692@icloud.com,Netherlands,2026-05-10,vegana
Chiara Smith,chiara.smith582@icloud.com,Japan,2025-09-03,senza glutine
Bianchi Camille,camille.bianchi629@yahoo.com,France,2025-08-11,vegana
jean meyer,jean.meyer623@icloud.com,Switzerland,2026-07-25,vegetariana
Aiko Martinez,aiko.martinez986@yahoo.com,France,2025-11-09,kosher
ANDREA NOWAK,andrea.nowak384@outlook.com,Spain,2025-09-08,kosher
ISABELLA NILSSON,isabella.nilsson523@outlook.com,Spain,2026-01-26,vegetariana
omar kowalski,omar.kowalski746@yahoo.com,Spain,2025-03-26,pesce
Muller Omar,omar.muller831@gmail.com,UAE,2024-10-24,italiana
MARIA KLEIN,maria.klein642@gmail.com,Netherlands,2026-06-29,kosher
elena bernard,elena.bernard105@icloud.com,France,2025-12-05,vegana
Charlotte Ferreira,charlotte.ferreira86@gmail.com,France,2025-01-06,vegana
Fernandez Marco,marco.fernandez542@icloud.com,Germany,2025-06-01,internazionale
FATIMA COLOMBO,fatima.colombo6@outlook.com,Germany,2026-09-04,italiana
DIEGO GARCIA,diego.garcia584@icloud.com,Japan,2025-12-19,kosher
Alessandro Novak,alessandro.novak591@gmail.com,USA,2025-12-20,kosher
SILVIA YAMAMOTO,silvia.yamamoto45@gmail.com,Spain,2024-11-02,italiana
JEAN SHARMA,jean.sharma958@icloud.com,Japan,2026-08-25,vegana
Francesco Wagner,francesco.wagner90@outlook.com,Spain,2026-07-18,halal
Moreau Alessandro,alessandro.moreau447@icloud.com,UAE,2025-10-07,italiana
nikolai klein,nikolai.klein619@yahoo.com,Switzerland,2025-06-06,kosher
  Laura Conti  ,laura.conti888@yahoo.com,USA,2026-02-11,halal
Patel Francesco,francesco.patel962@yahoo.com,Japan,2026-06-18,italiana
  Sara Romano  ,sara.romano401@gmail.com,Switzerland,2026-05-19,kosher
Smith Federica,federica.smith225@icloud.com,Germany,2026-08-29,italiana
Erik Martinez,erik.martinez973@gmail.com,UAE,2025-12-20,kosher
KENJI BIANCHI,kenji.bianchi330@gmail.com,USA,2025-06-12,italiana
olga dubois,olga.dubois671@icloud.com,Netherlands,2025-09-08,kosher
sara klein,sara.klein774@icloud.com,UAE,2026-06-10,internazionale
Marie Tanaka,marie.tanaka995@outlook.com,UK,2025-04-26,halal
Nikolai Patel,nikolai.patel311@outlook.com,Germany,2025-03-20,senza glutine
Layla Esposito,layla.esposito593@icloud.com,Germany,2026-03-13,internazionale
omar yamamoto,omar.yamamoto765@icloud.com,UAE,2025-08-13,vegetariana
  Aiko Garcia  ,aiko.garcia488@icloud.com,Netherlands,2026-06-10,vegana
Henri Kowalski,henri.kowalski962@yahoo.com,Italy,2024-12-23,halal
thomas wagner,thomas.wagner168@outlook.com,France,2025-06-20,internazionale
Matteo Ferreira,matteo.ferreira30@yahoo.com,Spain,2025-04-29,kosher
sophie sharma,sophie.sharma307@icloud.com,USA,2026-02-11,internazionale
  Matteo Chen  ,matteo.chen506@gmail.com,Italy,2026-04-20,vegetariana
John Nowak,john.nowak933@icloud.com,UK,2025-08-19,halal
Anna Bruno,anna.bruno50@icloud.com,France,2025-08-30,italiana
  Omar Colombo  ,omar.colombo757@outlook.com,France,2024-12-18,kosher
patricia schmidt,patricia.schmidt333@icloud.com,Germany,2026-02-16,italiana
Johnson Chiara,chiara.johnson325@yahoo.com,France,2026-09-06,vegetariana
laura tanaka,laura.tanaka748@outlook.com,UK,2026-05-10,vegetariana
  Silvia Ivanov  ,silvia.ivanov18@gmail.com,Japan,2025-03-11,italiana
Camille Ricci,camille.ricci247@icloud.com,USA,2025-12-13,internazionale
ISABELLA CHEN,isabella.chen343@icloud.com,Spain,2025-05-29,pesce
Weber Kenji,kenji.weber684@outlook.com,Netherlands,2024-09-25,senza glutine
ERIK GRECO,erik.greco835@yahoo.com,Japan,2025-01-22,senza glutine
Erik Weber,erik.weber832@yahoo.com,Spain,2024-12-03,kosher
MARIE KOBAYASHI,marie.kobayashi158@icloud.com,Spain,2025-02-09,vegetariana
  Yuki Johnson  ,yuki.johnson980@yahoo.com,USA,2026-05-29,vegetariana
laura popov,laura.popov364@gmail.com,Japan,2025-05-26,internazionale
camille fernandez,camille.fernandez667@yahoo.com,USA,2026-04-17,internazionale
Suzuki Francesco,francesco.suzuki870@gmail.com,USA,2026-08-15,halal
ekaterina greco,ekaterina.greco861@icloud.com,Germany,2025-11-05,pesce
  Nikolai Weber  ,nikolai.weber131@icloud.com,Switzerland,2025-09-02,vegetariana
Henri Klein,henri.klein91@yahoo.com,Spain,2026-04-10,halal
SILVIA WATANABE,silvia.watanabe970@icloud.com,UAE,2024-11-30,kosher
anna ricci,anna.ricci997@outlook.com,UAE,2025-08-05,kosher
  Giorgia Yamamoto  ,giorgia.yamamoto117@yahoo.com,USA,2025-09-09,vegetariana
Layla Suzuki,layla.suzuki171@gmail.com,Spain,2026-06-17,kosher
james bianchi,james.bianchi102@yahoo.com,Japan,2026-06-09,vegana
federica novak,federica.novak605@icloud.com,Switzerland,2026-06-26,internazionale
Omar Martinez,omar.martinez570@outlook.com,Spain,2026-02-11,pesce
  Yuki Muller  ,yuki.muller799@yahoo.com,Japan,2025-09-25,kosher
Nikolai Girard,nikolai.girard735@yahoo.com,Japan,2026-06-16,vegana
EMMA GARCIA,emma.garcia339@yahoo.com,Spain,2026-07-08,internazionale
charlotte bernard,charlotte.bernard771@icloud.com,USA,2025-08-31,italiana
  Silvia Lopez  ,silvia.lopez337@icloud.com,Spain,2026-09-02,vegana
THOMAS MEYER,thomas.meyer778@gmail.com,Japan,2026-07-09,internazionale
  Paolo Sharma  ,paolo.sharma507@yahoo.com,UK,2025-09-15,vegana
ISABELLA BERNARD,isabella.bernard603@icloud.com,France,2024-10-30,senza glutine
  Klaus Kaczmarek  ,klaus.kaczmarek419@gmail.com,USA,2025-03-12,senza glutine
Federica Sharma,federica.sharma314@outlook.com,Switzerland,2026-05-08,internazionale
Olivia Nilsson,olivia.nilsson303@icloud.com,UK,2024-12-07,internazionale
astrid klein,astrid.klein115@gmail.com,UK,2025-08-25,senza glutine
PATRICIA MARINO,patricia.marino496@gmail.com,UK,2025-12-04,internazionale
Layla Singh,layla.singh727@gmail.com,USA,2026-07-11,vegana
  David Lefevre  ,david.lefevre517@icloud.com,USA,2026-06-25,internazionale
  Charlotte Fernandez  ,charlotte.fernandez882@outlook.com,Spain,2026-04-25,senza glutine
Diego Fischer,diego.fischer334@yahoo.com,Japan,2025-07-25,vegana
lucia conti,lucia.conti231@gmail.com,Netherlands,2024-12-23,kosher
hans moreau,hans.moreau885@yahoo.com,Spain,2026-01-11,pesce
Arjun Weber,arjun.weber76@gmail.com,France,2025-01-24,pesce
  Luca Garcia  ,luca.garcia938@outlook.com,Japan,2025-10-22,senza glutine
Ahmed Marino,ahmed.marino642@yahoo.com,Germany,2026-08-31,pesce
Klaus Colombo,klaus.colombo106@icloud.com,UAE,2025-10-09,halal
matteo kowalski,matteo.kowalski874@gmail.com,UAE,2025-12-24,italiana
Astrid Sharma,astrid.sharma959@icloud.com,Japan,2026-01-20,halal
diego bruno,diego.bruno846@icloud.com,Germany,2026-06-17,italiana
Layla Ricci,layla.ricci960@outlook.com,UK,2025-08-08,italiana
sara tanaka,sara.tanaka622@icloud.com,Spain,2025-09-08,vegana
KENJI SOKOLOV,kenji.sokolov661@yahoo.com,UK,2025-01-18,vegana
Astrid Ibrahim,astrid.ibrahim935@outlook.com,UK,2025-12-09,vegana
Aiko Ferrari,aiko.ferrari570@gmail.com,France,2025-05-30,internazionale
Sophie Kowalski,sophie.kowalski693@yahoo.com,Netherlands,2025-09-13,internazionale
Ahmed Leroy,ahmed.leroy579@outlook.com,USA,2026-04-28,kosher
Dmitri Ferreira,dmitri.ferreira468@yahoo.com,Germany,2024-09-18,vegetariana
  Yuki Popov  ,yuki.popov216@gmail.com,Japan,2025-10-24,internazionale
Federica Leroy,federica.leroy557@outlook.com,Switzerland,2025-01-15,italiana
ERIK SMITH,erik.smith472@gmail.com,Italy,2025-05-12,vegetariana
PRIYA SINGH,priya.singh111@outlook.com,Switzerland,2024-09-27,vegana
yuki esposito,yuki.esposito439@gmail.com,Italy,2025-01-11,internazionale
Andrea Muller,andrea.muller981@outlook.com,France,2026-09-03,senza glutine
LAURA LOPEZ,laura.lopez214@gmail.com,UK,2026-09-09,kosher
kenji kim,kenji.kim711@icloud.com,USA,2026-03-07,pesce
ISABELLA SCHMIDT,isabella.schmidt380@gmail.com,USA,2025-12-08,senza glutine
ROBERT CHEN,robert.chen478@gmail.com,UAE,2026-05-09,kosher
  Aiko Romano  ,aiko.romano959@gmail.com,Germany,2026-07-20,halal
VALENTINA SHARMA,valentina.sharma847@yahoo.com,USA,2025-09-19,vegana
Ananya Garcia,ananya.garcia535@icloud.com,Switzerland,2024-09-27,italiana
Emma Nilsson,emma.nilsson699@icloud.com,France,2026-02-24,italiana
Lefevre Alessandro,alessandro.lefevre142@icloud.com,UK,2026-09-02,vegana
carlos al-farsi,carlos.al-farsi959@gmail.com,France,2025-04-18,kosher
Diego Muller,diego.muller540@gmail.com,UAE,2025-08-22,vegetariana
  Diego Johnson  ,diego.johnson781@icloud.com,Spain,2025-07-02,pesce
AMELIA JOHNSON,amelia.johnson268@icloud.com,Switzerland,2025-07-17,internazionale
marco dubois,marco.dubois137@yahoo.com,Switzerland,2026-03-09,senza glutine
laura novak,laura.novak766@gmail.com,UAE,2025-07-11,halal
  Patricia Patel  ,patricia.patel567@gmail.com,Switzerland,2026-08-11,vegana
emma ricci,emma.ricci552@outlook.com,Japan,2026-05-23,senza glutine
Thomas Esposito,thomas.esposito557@yahoo.com,Japan,2024-09-23,kosher
Lopez Federica,federica.lopez881@icloud.com,UAE,2026-06-11,kosher
klaus petrov,klaus.petrov242@outlook.com,Switzerland,2026-05-04,pesce
isabella ricci,isabella.ricci701@gmail.com,Germany,2025-09-18,internazionale
David Kobayashi,david.kobayashi821@outlook.com,USA,2025-09-08,vegana
HENRI MARINO,henri.marino477@gmail.com,Switzerland,2026-06-19,kosher
DIEGO FERNANDEZ,diego.fernandez729@icloud.com,Japan,2025-08-03,halal
Isabella Dubois,isabella.dubois250@gmail.com,Germany,2024-12-31,halal
john wagner,john.wagner640@gmail.com,Spain,2025-06-08,senza glutine
ELENA SMITH,elena.smith597@gmail.com,Italy,2025-04-26,senza glutine
  Giulia Yamamoto  ,giulia.yamamoto228@yahoo.com,Italy,2026-01-24,vegetariana
  Sophie Tanaka  ,sophie.tanaka567@outlook.com,Japan,2025-01-21,internazionale
OLGA SHARMA,olga.sharma964@icloud.com,France,2025-12-24,internazionale
Ingrid Yamamoto,ingrid.yamamoto626@yahoo.com,UAE,2025-08-24,vegetariana
  Fatima Girard  ,fatima.girard375@icloud.com,Spain,2026-06-22,italiana
SOPHIE SUZUKI,sophie.suzuki471@outlook.com,Germany,2025-09-02,italiana
Klaus Moreau,klaus.moreau537@yahoo.com,Switzerland,2026-08-05,senza glutine
  Ekaterina Novak  ,ekaterina.novak770@yahoo.com,Netherlands,2026-07-22,senza glutine
Arjun Kowalski,arjun.kowalski239@outlook.com,Switzerland,2025-01-28,pesce
francesco leroy,francesco.leroy831@gmail.com,Switzerland,2026-01-29,pesce
silvia chen,silvia.chen211@yahoo.com,Spain,2025-03-02,vegana
Park Elena,elena.park85@gmail.com,UK,2026-06-13,internazionale
Emma Nakamura,emma.nakamura313@outlook.com,Spain,2025-12-19,italiana
Isabella Esposito,isabella.esposito80@gmail.com,Netherlands,2025-05-28,pesce
Weber Isabella,isabella.weber158@outlook.com,Netherlands,2025-04-08,internazionale
Dmitri Suzuki,dmitri.suzuki224@gmail.com,Italy,2025-08-05,kosher
OLGA MULLER,olga.muller138@outlook.com,USA,2026-06-02,vegana
Thomas Klein,thomas.klein606@icloud.com,France,2026-05-30,pesce
  Valentina Kim  ,valentina.kim388@gmail.com,UAE,2024-09-26,vegana
robert wagner,robert.wagner475@icloud.com,Germany,2025-06-03,halal
HANS ANDERSEN,hans.andersen680@gmail.com,Japan,2025-08-02,kosher
aiko yamamoto,aiko.yamamoto362@outlook.com,Spain,2025-11-17,vegetariana
SILVIA TANAKA,silvia.tanaka14@yahoo.com,Netherlands,2024-12-26,vegana
diego chen,diego.chen135@yahoo.com,France,2025-06-19,kosher
YUKI KACZMAREK,yuki.kaczmarek611@outlook.com,Japan,2026-07-14,internazionale
Moreau Diego,diego.moreau678@outlook.com,Switzerland,2025-08-29,italiana
  Omar Al-Farsi  ,omar.al-farsi403@outlook.com,Switzerland,2026-04-03,halal
GIULIA RICCI,giulia.ricci952@outlook.com,Japan,2025-09-02,italiana
Sokolov Matteo,matteo.sokolov482@yahoo.com,Japan,2025-08-23,halal
MARCO HASSAN,marco.hassan466@icloud.com,Netherlands,2025-12-13,vegana
  Simone Meyer  ,simone.meyer92@outlook.com,UAE,2025-04-20,vegana
Erik Kim,erik.kim935@icloud.com,Italy,2025-04-09,kosher
James Kaczmarek,james.kaczmarek357@icloud.com,Switzerland,2026-09-04,pesce
  Sophie Singh  ,sophie.singh73@gmail.com,Switzerland,2026-07-06,vegana
  Henri Smith  ,henri.smith554@gmail.com,Switzerland,2026-03-27,italiana
LAYLA FISCHER,layla.fischer144@outlook.com,Japan,2024-12-20,internazionale
astrid wagner,astrid.wagner980@icloud.com,USA,2024-09-25,kosher
kenji ibrahim,kenji.ibrahim96@icloud.com,USA,2025-01-18,kosher
  Olga Ferrari  ,olga.ferrari969@yahoo.com,Netherlands,2026-08-09,italiana
Alessandro Esposito,alessandro.esposito171@yahoo.com,Switzerland,2026-06-10,italiana
Priya Colombo,priya.colombo717@gmail.com,Netherlands,2025-09-21,vegetariana
Al-Rashid Alessandro,alessandro.al-rashid445@icloud.com,Switzerland,2026-08-25,internazionale
Hans Schmidt,hans.schmidt703@icloud.com,UK,2024-12-25,halal
Chiara Park,chiara.park516@icloud.com,UAE,2025-10-19,vegetariana
  Andrea Weber  ,andrea.weber643@icloud.com,Germany,2025-01-26,kosher
Marco Patel,marco.patel106@icloud.com,UAE,2025-06-05,vegetariana
Kumar Aiko,aiko.kumar726@gmail.com,Switzerland,2026-08-11,halal
Giorgia Conti,giorgia.conti206@gmail.com,UK,2026-07-06,senza glutine
DIEGO NOVAK,diego.novak49@outlook.com,France,2024-12-03,italiana
  Jean Girard  ,jean.girard276@gmail.com,Netherlands,2025-04-09,halal
nikolai chen,nikolai.chen367@icloud.com,UK,2025-11-27,halal
VALENTINA KACZMAREK,valentina.kaczmarek173@outlook.com,UAE,2024-10-22,vegetariana
Leroy Amelia,amelia.leroy822@outlook.com,UK,2025-10-09,pesce
Giorgia Nakamura,giorgia.nakamura797@gmail.com,UAE,2025-11-16,kosher
Diego Lopez,diego.lopez820@icloud.com,UAE,2025-05-24,vegana
NIKOLAI POPOV,nikolai.popov466@outlook.com,Spain,2025-05-27,pesce
LAYLA LEFEVRE,layla.lefevre572@gmail.com,USA,2025-03-17,senza glutine
ananya novak,ananya.novak435@yahoo.com,UAE,2026-08-08,pesce
OLGA NAKAMURA,olga.nakamura151@yahoo.com,Italy,2025-07-16,kosher
JAMES NOVAK,james.novak770@gmail.com,France,2025-11-17,italiana
FRANCESCO PARK,francesco.park364@gmail.com,Netherlands,2025-06-03,vegetariana
erik singh,erik.singh659@yahoo.com,France,2026-02-16,kosher
OLIVIA ESPOSITO,olivia.esposito109@icloud.com,UAE,2024-12-02,internazionale
PATRICIA MEYER,patricia.meyer878@outlook.com,France,2024-11-02,vegetariana
Valentina Patel,valentina.patel923@outlook.com,Spain,2026-04-03,senza glutine
Giorgia Weber,giorgia.weber954@icloud.com,USA,2026-03-15,pesce
Pierre Moreau,pierre.moreau793@gmail.com,Italy,2025-04-26,senza glutine
EKATERINA SUZUKI,ekaterina.suzuki590@gmail.com,USA,2025-06-29,halal
SIMONE BERNARD,simone.bernard75@gmail.com,UK,2026-08-19,italiana
  Ekaterina Al-Farsi  ,ekaterina.al-farsi28@gmail.com,Germany,2024-12-04,kosher
David Weber,david.weber123@yahoo.com,UAE,2025-01-26,internazionale
Colombo Silvia,silvia.colombo653@outlook.com,Spain,2025-08-06,italiana
Elena Silva,elena.silva108@icloud.com,Italy,2025-05-15,vegetariana
  Robert Martinez  ,robert.martinez173@gmail.com,Germany,2025-12-26,vegana
Isabella Popov,isabella.popov660@gmail.com,Netherlands,2026-02-03,italiana
Matteo Kaczmarek,matteo.kaczmarek686@icloud.com,Switzerland,2025-09-23,pesce
JEAN DUBOIS,jean.dubois109@gmail.com,Spain,2025-12-07,senza glutine
charlotte girard,charlotte.girard35@yahoo.com,Japan,2025-08-07,italiana
  Giorgia Johnson  ,giorgia.johnson51@gmail.com,Italy,2026-04-21,vegana
SOPHIE WEBER,sophie.weber133@yahoo.com,Germany,2024-09-30,halal
francesco johnson,francesco.johnson725@outlook.com,UK,2025-06-08,italiana
Nilsson Ahmed,ahmed.nilsson55@yahoo.com,Italy,2026-01-27,internazionale
  Silvia Sokolov  ,silvia.sokolov382@gmail.com,Switzerland,2025-06-17,vegana
Astrid Novak,astrid.novak745@gmail.com,Switzerland,2024-11-09,kosher
laura fischer,laura.fischer270@icloud.com,UAE,2025-06-24,pesce
Giorgia Leroy,giorgia.leroy882@icloud.com,France,2026-02-26,halal
marco singh,marco.singh3@gmail.com,Italy,2024-12-13,senza glutine
Emma Smith,emma.smith936@yahoo.com,Japan,2026-03-13,italiana
SARA LOPEZ,sara.lopez516@outlook.com,UK,2026-05-07,senza glutine
  Marco Bianchi  ,marco.bianchi202@icloud.com,Switzerland,2025-12-19,pesce
Giorgia Al-Farsi,giorgia.al-farsi74@icloud.com,UK,2025-04-03,pesce
youssef al-rashid,youssef.al-rashid666@gmail.com,Switzerland,2026-06-04,kosher
Francesco Nilsson,francesco.nilsson464@gmail.com,France,2025-03-01,italiana
  Isabella Klein  ,isabella.klein500@outlook.com,Germany,2026-07-25,internazionale
dmitri ferrari,dmitri.ferrari177@outlook.com,Netherlands,2026-02-21,italiana
Silva Sophie,sophie.silva248@outlook.com,Switzerland,2024-10-14,vegetariana
CHIARA ESPOSITO,chiara.esposito969@gmail.com,Netherlands,2026-06-01,vegana
Ricci Andrea,andrea.ricci39@gmail.com,Germany,2025-09-13,senza glutine
ARJUN BERNARD,arjun.bernard333@yahoo.com,USA,2025-08-17,internazionale
Priya Park,priya.park294@outlook.com,France,2025-08-01,senza glutine
Kumar Amelia,amelia.kumar837@gmail.com,France,2025-12-05,halal
OMAR CHEN,omar.chen653@gmail.com,Spain,2026-03-13,vegetariana
LUCIA MEYER,lucia.meyer162@outlook.com,Japan,2026-07-20,vegetariana
Rossi Isabella,isabella.rossi752@gmail.com,UAE,2025-05-05,italiana
CHIARA DUBOIS,chiara.dubois464@yahoo.com,France,2025-12-17,vegana
Martinez Yuki,yuki.martinez688@yahoo.com,USA,2026-01-30,kosher
Federica Watanabe,federica.watanabe731@outlook.com,UAE,2026-01-17,halal
AMELIA SHARMA,amelia.sharma816@yahoo.com,UAE,2025-09-06,kosher
  Simone Lopez  ,simone.lopez289@yahoo.com,Germany,2025-07-17,senza glutine
Marco Rossi,marco.rossi933@outlook.com,Spain,2026-04-23,pesce
Ekaterina Singh,ekaterina.singh210@gmail.com,Switzerland,2025-06-02,pesce
DAVID PETROV,david.petrov511@gmail.com,France,2025-02-22,italiana
Kenji Schmidt,kenji.schmidt302@icloud.com,Germany,2025-10-05,internazionale
INGRID LEROY,ingrid.leroy6@yahoo.com,Netherlands,2025-04-29,senza glutine
Simone Klein,simone.klein197@yahoo.com,France,2024-09-26,halal
